2/4/21,infected,recovered,died,,,,,
Москва,937450,835168,13701,,,,,
Санкт-Петербург,340929,240463,9959,,,,,
Московская область,196467,157140,3904,,,,,
Нижегородская область,86311,78480,2168,,,,,
Свердловская область,71820,64507,2093,,,,,
Ростовская область,65166,54994,2733,,,,,
Воронежская область,59703,53632,1607,,,,,
Красноярский край,57638,53101,2438,,,,,
Архангельская область,52187,44944,482,,,,,
Иркутская область,49712,44709,1600,,,,,
Ханты-Мансийский АО,48307,45401,677,,,,,
Хабаровский край,45580,41232,258,,,,,
Челябинская область,44928,34791,816,,,,,
Ульяновская область,44485,40903,644,,,,,
Волгоградская область,44277,42278,630,,,,,
Саратовская область,44160,38830,558,,,,,
Мурманская область,43788,41137,839,,,,,
Ставропольский край,43393,38905,951,,,,,
Самарская область,41504,38201,835,,,,,
Пермский край,40924,33929,1488,,,,,
Алтайский край,39724,35637,1236,,,,,
Омская область,37914,34720,1101,,,,,
Приморский край,37171,28544,547,,,,,
Республика Коми,36921,35646,704,,,,,
Республика Карелия,36824,31874,240,,,,,
Ямало-Ненецкий автономный округ,35864,32443,383,,,,,
Забайкальский край,35046,33215,480,,,,,
Оренбургская область,34709,30905,498,,,,,
Краснодарский край,34411,25826,1542,,,,,
Вологодская область,33967,29129,649,,,,,
Пензенская область,33581,26641,391,,,,,
Кировская область,33071,27822,270,,,,,
Республика Крым,32980,28140,791,,,,,
Новосибирская область,32786,30368,1260,,,,,
Ленинградская область,31571,28624,446,,,,,
Республика Саха (Якутия),31027,28517,494,,,,,
Республика Бурятия,30994,28580,675,,,,,
Тверская область,29831,25975,528,,,,,
Брянская область,29761,28359,241,,,,,
Псковская область,29751,18295,139,,,,,
Кемеровская область,29737,28029,529,,,,,
Тульская область,29599,26915,1047,,,,,
Ярославская область,28854,27140,322,,,,,
Тюменская область,28779,26988,253,,,,,
Томская область,28599,25839,271,,,,,
Республика Дагестан,28284,25400,1259,,,,,
Белгородская область,28125,25513,392,,,,,
Ивановская область,27434,24182,782,,,,,
Орловская область,27363,24185,365,,,,,
Курская область,26974,23681,385,,,,,
Калужская область,26590,24296,222,,,,,
Удмуртская Республика,25937,22518,521,,,,,
Астраханская область,25112,15587,492,,,,,
Республика Башкортостан,24909,18904,195,,,,,
Калининградская область,24810,22039,223,,,,,
Новгородская область,24616,20726,110,,,,,
Владимирская область,24092,21249,704,,,,,
Тамбовская область,23136,21122,281,,,,,
Смоленская область,23080,20292,478,,,,,
Рязанская область,22328,20390,238,,,,,
Липецкая область,21517,17563,381,,,,,
Республика Хакасия,20596,19186,394,,,,,
Сахалинская область,19959,17592,27,,,,,
Амурская область,19822,18145,140,,,,,
Республика Чувашия,19817,17884,905,,,,,
Кабардино-Балкарская Республика,19120,17825,336,,,,,
Карачаево-Черкесская Республика,17830,16097,57,,,,,
Республика Калмыкия,17711,16193,262,,,,,
Костромская область,17225,14082,300,,,,,
Республика Татарстан,16385,12881,283,,,,,
Республика Мордовия,16332,13859,141,,,,,
Курганская область,15610,13739,222,,,,,
Республика Алтай,15532,14446,135,,,,,
Республика Тыва,15439,14287,190,,,,,
Республика Северная Осетия — Алания,14686,13138,124,,,,,
Республика Ингушетия,14102,12306,161,,,,,
Республика Адыгея,13199,11348,122,,,,,
Камчатский край,12501,11095,84,,,,,
Чеченская Республика,10891,9942,108,,,,,
Республика Марий Эл,10835,9510,156,,,,,
Севастополь,10108,9053,409,,,,,
Магаданская область,7927,7484,91,,,,,
Еврейская автономная область,4205,3877,107,,,,,
Ненецкий автономный округ,932,798,1,,,,,
Чукотский автономный округ,646,583,4,,,,,
Алтайский край,39724,35637,1236,,,,,
Амурская область,19822,18145,140,,,,,
Архангельская область,52187,44944,482,,,,,
Астраханская область,25112,15587,492,,,,,
Белгородская область,28125,25513,392,,,,,
Брянская область,29761,28359,241,,,,,
Владимирская область,24092,21249,704,,,,,
Волгоградская область,44277,42278,630,,,,,
Вологодская область,33967,29129,649,,,,,
Воронежская область,59703,53632,1607,,,,,
Еврейская автономная область,4205,3877,107,,,,,
Забайкальский край,35046,33215,480,,,,,
Ивановская область,27434,24182,782,,,,,
Иркутская область,49712,44709,1600,,,,,
Кабардино-Балкарская Республика,19120,17825,336,,,,,
Калининградская область,24810,22039,223,,,,,
Калужская область,26590,24296,222,,,,,
Камчатский край,12501,11095,84,,,,,
Карачаево-Черкесская Республика,17830,16097,57,,,,,
Кемеровская область,29737,28029,529,,,,,
Кировская область,33071,27822,270,,,,,
Костромская область,17225,14082,300,,,,,
Краснодарский край,34411,25826,1542,,,,,
Красноярский край,57638,53101,2438,,,,,
Курганская область,15610,13739,222,,,,,
Курская область,26974,23681,385,,,,,
Ленинградская область,31571,28624,446,,,,,
Липецкая область,21517,17563,381,,,,,
Магаданская область,7927,7484,91,,,,,
Москва,937450,835168,13701,,,,,
Московская область,196467,157140,3904,,,,,
Мурманская область,43788,41137,839,,,,,
Ненецкий автономный округ,932,798,1,,,,,
Нижегородская область,86311,78480,2168,,,,,
Новгородская область,24616,20726,110,,,,,
Новосибирская область,32786,30368,1260,,,,,
Омская область,37914,34720,1101,,,,,
Оренбургская область,34709,30905,498,,,,,
Орловская область,27363,24185,365,,,,,
Пензенская область,33581,26641,391,,,,,
Пермский край,40924,33929,1488,,,,,
Приморский край,37171,28544,547,,,,,
Псковская область,29751,18295,139,,,,,
Республика Адыгея,13199,11348,122,,,,,
Республика Алтай,15532,14446,135,,,,,
Республика Башкортостан,24909,18904,195,,,,,
Республика Бурятия,30994,28580,675,,,,,
Республика Дагестан,28284,25400,1259,,,,,
Республика Ингушетия,14102,12306,161,,,,,
Республика Калмыкия,17711,16193,262,,,,,
Республика Карелия,36824,31874,240,,,,,
Республика Коми,36921,35646,704,,,,,
Республика Крым,32980,28140,791,,,,,
Республика Марий Эл,10835,9510,156,,,,,
Республика Мордовия,16332,13859,141,,,,,
Республика Саха (Якутия),31027,28517,494,,,,,
Республика Северная Осетия — Алания,14686,13138,124,,,,,
Республика Татарстан,16385,12881,283,,,,,
Республика Тыва,15439,14287,190,,,,,
Республика Хакасия,20596,19186,394,,,,,
Республика Чувашия,19817,17884,905,,,,,
Ростовская область,65166,54994,2733,,,,,
Рязанская область,22328,20390,238,,,,,
Самарская область,41504,38201,835,,,,,
Санкт-Петербург,340929,240463,9959,,,,,
Саратовская область,44160,38830,558,,,,,
Сахалинская область,19959,17592,27,,,,,
Свердловская область,71820,64507,2093,,,,,
Севастополь,10108,9053,409,,,,,
Смоленская область,23080,20292,478,,,,,
Ставропольский край,43393,38905,951,,,,,
Тамбовская область,23136,21122,281,,,,,
Тверская область,29831,25975,528,,,,,
Томская область,28599,25839,271,,,,,
Тульская область,29599,26915,1047,,,,,
Тюменская область,28779,26988,253,,,,,
Удмуртская Республика,25937,22518,521,,,,,
Ульяновская область,44485,40903,644,,,,,
Хабаровский край,45580,41232,258,,,,,
Ханты-Мансийский АО,48307,45401,677,,,,,
Челябинская область,44928,34791,816,,,,,
Чеченская Республика,10891,9942,108,,,,,
Чукотский автономный округ,646,583,4,,,,,
Ямало-Ненецкий автономный округ,35864,32443,383,,,,,
Ярославская область,28854,27140,322,,,,,
